EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
6171,CORACIIFORMES,Alcedinidae,Tanysiptera sylvia,Buff-breasted Paradise-kingfisher,LC,LC,6.108683,2.687225,3.820192,10.653516,1.961317,1.304874,1.572814,2.455608
6172,PASSERIFORMES,Alaudidae,Calandrella rufescens,Lesser Short-toed Lark,LC,LC,6.107454,2.148937,3.853314,8.815381,1.961144,1.147065,1.579662,2.283951
6173,GALLIFORMES,Odontophoridae,Odontophorus guttatus,Spotted Wood-quail,LC,LC,6.1057,3.501356,3.313549,11.878194,1.960897,1.504379,1.461761,2.555535
6174,APODIFORMES,Trochilidae,Phaethornis malaris,Great-billed Hermit,LC,LC,6.10249,1.099382,4.288581,7.378362,1.960445,0.741643,1.66555,2.125652
6175,COLUMBIFORMES,Columbidae,Columba delegorguei,Eastern Bronze-naped Pigeon,LC,LC,6.102351,3.288952,3.523803,12.134084,1.960426,1.456043,1.509353,2.575211
6176,PASSERIFORMES,Ploceidae,Euplectes jacksoni,Jackson's Widowbird,NT,NT,2.550554,0.810327,1.665853,3.575874,1.960251,1.286655,1.673671,2.213945
6177,PICIFORMES,Picidae,Campephilus haematogaster,Crimson-bellied Woodpecker,LC,LC,6.101054,2.055245,3.745871,8.721339,1.960243,1.11686,1.557275,2.274323
6178,APODIFORMES,Trochilidae,Leucippus taczanowskii,Spot-throated Hummingbird,LC,LC,6.098549,2.572281,3.778636,9.947108,1.95989,1.273204,1.564155,2.393075
6179,ACCIPITRIFORMES,Accipitridae,Accipiter striatus,Sharp-shinned Hawk,LC,LC,6.096948,1.843242,3.994667,8.122134,1.959665,1.044945,1.608371,2.210704
6180,PASSERIFORMES,Monarchidae,Arses insularis,Rufous-collared Monarch,LC,LC,6.094627,2.642404,3.901537,10.417083,1.959338,1.292644,1.589549,2.435111
6181,APODIFORMES,Trochilidae,Phaethornis superciliosus,Long-tailed Hermit,LC,LC,6.093475,1.108671,4.283794,7.372827,1.959175,0.746058,1.664644,2.124992
6182,GALLIFORMES,Odontophoridae,Odontophorus leucolaemus,Black-breasted Wood-quail,LC,LC,6.091752,3.526288,3.32139,12.20622,1.958932,1.509902,1.463577,2.580688
6183,PASSERIFORMES,Alaudidae,Calandrella acutirostris,Hume's Lark,LC,LC,6.090156,2.152129,3.939592,8.781153,1.958707,1.148078,1.597283,2.280457
6184,TROGONIFORMES,Trogonidae,Trogon chionurus,White-tailed Trogon,LC,LC,6.087517,0.823469,5.139963,7.190029,1.958335,0.60074,1.814819,2.102917
